state,sec,Count
ZACATECAS,SECTOR 11,57
ZACATECAS,SECTOR 21,2
ZACATECAS,SECTOR 22,0
ZACATECAS,SECTOR 23,0
ZACATECAS,SECTOR 31-33,4
ZACATECAS,SECTOR 43,16
ZACATECAS,SECTOR 46,12
ZACATECAS,SECTOR 48-49,3
ZACATECAS,SECTOR 51,0
ZACATECAS,SECTOR 52,50
ZACATECAS,SECTOR 53,0
ZACATECAS,SECTOR 54,3
ZACATECAS,SECTOR 56,1
ZACATECAS,SECTOR 61,0
ZACATECAS,SECTOR 62,0
ZACATECAS,SECTOR 71,2
ZACATECAS,SECTOR 72,7
ZACATECAS,SECTOR 81,4
